City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Novikovo,51.1537,37.8879,69.31,55,99,6.38,RU,2021-07-24 16:59:10
123,Atar,20.5169,-13.0499,106.12,14,75,8.52,MR,2021-07-24 16:51:27
124,Atagay,55.1033,99.3875,59.79,79,9,3.18,RU,2021-07-24 16:59:11
125,Tabou,4.423,-7.3528,78.13,68,97,7.52,CI,2021-07-24 16:59:11
126,Vila Velha,-20.3297,-40.2925,78.75,53,40,9.22,BR,2021-07-24 16:51:39
127,Mangan,27.5167,88.5333,78.66,89,93,1.74,IN,2021-07-24 16:59:12
128,Youghal,51.95,-7.8506,73.67,74,82,7.11,IE,2021-07-24 16:59:12
129,Pangnirtung,66.1451,-65.7125,50.0,66,90,4.61,CA,2021-07-24 16:59:13
130,Khomutovo,52.4658,104.4025,59.61,84,71,2.86,RU,2021-07-24 16:59:13
131,Codrington,-38.2667,141.9667,42.08,92,99,17.16,AU,2021-07-24 16:56:29
132,Frolovo,49.7713,43.6622,70.07,52,44,8.48,RU,2021-07-24 16:59:13
133,Hithadhoo,-0.6,73.0833,82.72,77,55,12.3,MV,2021-07-24 16:55:01
134,San Jeronimo,-11.9472,-75.2829,61.41,25,0,4.38,PE,2021-07-24 16:59:14
135,Marsh Harbour,26.5412,-77.0636,78.89,80,100,13.51,BS,2021-07-24 16:59:14
136,Phan Thiet,10.9333,108.1,77.54,83,80,10.22,VN,2021-07-24 16:59:15
137,Severo-Kurilsk,50.6789,156.125,53.91,96,76,2.44,RU,2021-07-24 16:55:22
138,Sisimiut,66.9395,-53.6735,38.59,93,97,6.24,GL,2021-07-24 16:55:26
139,Kamyaran,34.7956,46.9355,93.81,18,0,2.82,IR,2021-07-24 16:59:15
140,Cape Town,-33.9258,18.4232,58.26,40,0,5.75,ZA,2021-07-24 16:55:32
141,Cedar City,37.6775,-113.0619,81.39,37,82,4.61,US,2021-07-24 16:56:22
142,Tari,12.4086,4.4914,86.49,52,72,8.59,NG,2021-07-24 16:59:16
143,Sitka,57.0531,-135.33,55.83,87,98,2.86,US,2021-07-24 16:59:16
144,Beloha,-25.1667,45.05,63.36,54,77,11.07,MG,2021-07-24 16:59:17
145,Qaanaaq,77.484,-69.3632,40.95,66,79,1.83,GL,2021-07-24 16:55:43
146,Todos Santos,23.45,-110.2167,95.0,84,33,6.33,MX,2021-07-24 16:59:17
147,Cherskiy,68.75,161.3,41.04,81,77,2.53,RU,2021-07-24 16:55:32
148,Salalah,17.0151,54.0924,77.49,96,100,5.73,OM,2021-07-24 16:52:49
149,Batemans Bay,-35.7167,150.1833,47.98,71,62,6.76,AU,2021-07-24 16:59:18
150,Ribeira Grande,38.5167,-28.7,73.8,88,75,11.5,PT,2021-07-24 16:56:43
151,Soeng Sang,14.4264,102.4606,71.94,94,100,10.13,TH,2021-07-24 16:59:18
152,Qasigiannguit,68.8193,-51.1922,38.03,96,88,11.43,GL,2021-07-24 16:56:19
153,Isangel,-19.55,169.2667,74.93,86,7,2.71,VU,2021-07-24 16:55:02
154,Vila Franca Do Campo,37.7167,-25.4333,73.81,70,21,8.21,PT,2021-07-24 16:51:39
155,Namatanai,-3.6667,152.4333,78.31,82,38,4.16,PG,2021-07-24 16:56:24
156,Rio Gallegos,-51.6226,-69.2181,44.65,53,0,6.91,AR,2021-07-24 16:51:35
157,Tahta,26.7693,31.5021,100.51,15,0,12.01,EG,2021-07-24 16:59:19
158,Beringovskiy,63.05,179.3167,50.77,91,100,8.3,RU,2021-07-24 16:59:20
159,Carnarvon,-24.8667,113.6333,62.67,70,75,3.44,AU,2021-07-24 16:55:45
160,Leningradskiy,69.3833,178.4167,37.33,93,98,4.18,RU,2021-07-24 16:50:57
161,Sechura,-5.5569,-80.8222,73.83,60,14,7.23,PE,2021-07-24 16:59:20
162,Klaksvik,62.2266,-6.589,50.92,94,75,21.03,FO,2021-07-24 16:59:21
163,Los Llanos De Aridane,28.6585,-17.9182,74.12,81,20,16.11,ES,2021-07-24 16:52:05
164,Aklavik,68.2191,-135.0107,61.52,94,90,6.91,CA,2021-07-24 16:59:21
165,Iqaluit,63.7506,-68.5145,47.93,71,90,16.11,CA,2021-07-24 16:56:36
166,Kununurra,-15.7667,128.7333,62.58,72,100,1.14,AU,2021-07-24 16:56:15
167,Puerto Madryn,-42.7692,-65.0385,49.89,44,100,17.16,AR,2021-07-24 16:59:22
168,Morgantown,39.6295,-79.9559,85.19,59,38,3.4,US,2021-07-24 16:55:04
169,Manzanillo,20.3433,-77.1167,87.51,61,65,5.66,CU,2021-07-24 16:59:22
170,Airai,-8.9266,125.4092,56.32,41,26,3.04,TL,2021-07-24 16:59:22
171,Pevek,69.7008,170.3133,37.18,93,94,5.68,RU,2021-07-24 16:56:08
172,Pisco,-13.7,-76.2167,66.25,63,75,3.44,PE,2021-07-24 16:55:57
173,Tuktoyaktuk,69.4541,-133.0374,55.4,62,40,17.27,CA,2021-07-24 16:50:11
174,Pokhara,28.2333,83.9833,73.99,97,76,0.76,NP,2021-07-24 16:59:23
175,Tokur,53.1333,132.9,61.61,97,98,3.56,RU,2021-07-24 16:59:24
176,Vao,-22.6667,167.4833,70.77,85,22,6.13,NC,2021-07-24 16:56:22
177,Kalemie,-5.9475,29.1947,73.56,54,0,5.88,CD,2021-07-24 16:59:24
178,Lashma,54.9321,41.1438,61.23,61,89,4.47,RU,2021-07-24 16:59:25
179,Vestmannaeyjar,63.4427,-20.2734,52.79,87,75,14.97,IS,2021-07-24 16:59:25
180,Bengkulu,-3.8004,102.2655,76.69,86,19,5.26,ID,2021-07-24 16:56:27
181,Otradnoye,59.7775,30.8181,68.05,52,29,3.51,RU,2021-07-24 16:59:26
182,Linhares,-19.3911,-40.0722,79.72,40,7,10.2,BR,2021-07-24 16:59:26
183,Port Hedland,-20.3167,118.5667,62.65,63,7,6.91,AU,2021-07-24 16:59:26
184,Kruisfontein,-34.0033,24.7314,53.89,47,2,6.71,ZA,2021-07-24 16:55:01
185,Aki,33.5,133.9,73.49,88,100,4.0,JP,2021-07-24 16:59:27
186,Gigmoto,13.7796,124.39,81.39,82,75,13.67,PH,2021-07-24 16:59:27
187,East London,-33.0153,27.9116,58.14,72,0,11.5,ZA,2021-07-24 16:51:39
188,Hambantota,6.1241,81.1185,80.35,80,83,15.28,LK,2021-07-24 16:57:08
189,Stephenville,32.2207,-98.2023,89.94,61,1,8.05,US,2021-07-24 16:59:28
190,Siocon,7.7061,122.1353,79.16,85,90,4.14,PH,2021-07-24 16:59:28
191,Kurilsk,45.2333,147.8833,63.1,89,82,3.78,RU,2021-07-24 16:55:27
192,Korla,41.7597,86.1469,91.83,20,0,4.09,CN,2021-07-24 16:59:29
193,Dingle,10.9995,122.6711,77.67,86,98,10.87,PH,2021-07-24 16:59:29
194,Horki,54.2861,30.9842,67.17,61,54,3.94,BY,2021-07-24 16:59:30
195,Kishtwar,33.3167,75.7667,70.68,94,50,1.19,IN,2021-07-24 16:59:30
196,Saskylakh,71.9167,114.0833,56.57,59,95,7.0,RU,2021-07-24 16:55:05
197,Palu,-0.8917,119.8707,76.15,95,99,2.66,ID,2021-07-24 16:59:30
198,Poronaysk,49.2167,143.1167,64.63,98,85,4.7,RU,2021-07-24 16:59:31
199,Orasac,44.6289,16.0711,82.24,60,22,0.92,BA,2021-07-24 16:59:31
200,Douentza,14.9951,-2.9517,85.23,61,81,8.08,ML,2021-07-24 16:59:32
201,Filadelfia,39.9523,-75.1638,88.3,47,0,1.99,US,2021-07-24 16:56:33
202,Souillac,-20.5167,57.5167,70.18,78,20,5.75,MU,2021-07-24 16:56:10
203,Lichtenburg,-26.152,26.1597,42.15,40,0,8.61,ZA,2021-07-24 16:59:32
204,Coquimbo,-29.9533,-71.3436,55.13,87,75,8.05,CL,2021-07-24 16:53:27
205,Aquiraz,-3.9014,-38.3911,89.22,42,27,12.37,BR,2021-07-24 16:59:33
206,Victoria,22.2855,114.1577,86.38,88,89,1.01,HK,2021-07-24 16:54:50
207,Matehuala,23.65,-100.65,75.13,33,5,7.7,MX,2021-07-24 16:59:33
208,Georgetown,5.4112,100.3354,85.89,84,20,0.0,MY,2021-07-24 16:55:15
209,Cardenas,23.0375,-81.2047,86.72,59,84,6.8,CU,2021-07-24 16:59:33
210,Pimenta Bueno,-11.6725,-61.1936,98.53,21,59,3.67,BR,2021-07-24 16:58:07
211,Strezhevoy,60.7333,77.5889,67.98,96,49,7.34,RU,2021-07-24 16:59:34
212,Sakaraha,-22.9,44.5333,59.49,49,5,11.34,MG,2021-07-24 16:59:34
213,Mersing,2.4312,103.8405,80.51,89,81,5.75,MY,2021-07-24 16:59:35
214,Coahuayana,18.7333,-103.6833,87.01,67,90,2.91,MX,2021-07-24 16:59:35
215,Khatanga,71.9667,102.5,59.99,91,95,10.36,RU,2021-07-24 16:50:45
216,Laguna,38.421,-121.4238,95.65,52,0,3.0,US,2021-07-24 16:55:41
217,Udachnyy,66.4167,112.4,60.44,51,70,6.31,RU,2021-07-24 16:59:36
218,Ipora,-16.4419,-51.1178,87.39,22,0,6.46,BR,2021-07-24 16:57:30
219,Dingzhou,38.5131,114.9956,78.91,85,12,2.42,CN,2021-07-24 16:59:36
